N°,N° adhérent,Code vendeur,Nom,Code pays/région,Groupe compta. marché TVA,Code postal,N° téléphone,Contact
ATLA4440,,ADV FRANCE,ATLANTIC TRUCK SERVICES,FR,FRANCE,44470,02 40 25 01 02 ,LUC LEPICIER
AUBI7900,,ADV FRANCE,AUBINEAU CONSTRUCTEUR,FR,FRANCE,79700,05 49 81 42 11,MR DE MALEZIEUX
BAIN2701,,OGR,CARROSSERIE INDUST  BAIN,FR,FRANCE,27110,02 32 34 03 50,GEORGES BAIN
BARR6201,,ADV FRANCE,CARROSSERIE BARRE,FR,FRANCE,62220,03 21 74 74 00,YOAN DESTREBECQ
BAYI7200,,OGR,SAS BAYI TRUCKS LE MANS,FR,FRANCE,72028,02 43 50 22 28,MR JOUIN
BIZI2901,,OGR,THE TRUCK COMPANY FRANCE,FR,FRANCE,29250,02 98 29 21 00,ARNAUD GUIVARC
BLIN5100,,OGR,BLIN CARROSSERIE,FR,FRANCE,51420,0326843232,
BOYR9902,,ADV EXPORT,BOYRITEC,DE,CEE,56410,0049 2602 9225,ANDREAS KASPAR
BOYR9904,,ADV EXPORT,RTS,NL,CEE,3881 LW,00 31 341375140,
CARF8800,,OGR,CARFAR,FR,FRANCE,88300,03 29 94 18 93,NICOLAS RENAUT
CAVI7782,,ADV FRANCE,CAVIME,FR,FRANCE,77820,01 60 66 60 35,MR GARRIGUE FRANCIS ET HUP
CHER5006,,OGR,JEAN CHEREAU SAS,FR,FRANCE,50220,02 33 58 06 00,
CORS2802,,OGR,CARROSSERIE CORSIN,FR,FRANCE,28130,02 37 27 56 56,
DHUM2305,,OGR,DHUME CARROSSERIE,FR,FRANCE,23170,05 55 82 11 06,FREDERIC DHUME
DUFI0801,,OGR,DUFILS CARROSSERIE,FR,FRANCE,08400,03 24 71 86 08,BRUNO ROMAIN
GROS7605,,OGR,GROSSE EQUIPEMENT,FR,FRANCE,76270,02 35 93 09 30,FRANÇOIS GROSSE
ITAL5100,,OGR,ITAL EXPRESS,FR,FRANCE,51009,03 26 21 11 00,CYRIL DENIS
LABB2200,,OGR,CARROSSERIE LABBE,FR,FRANCE,22405,02 96 50 12 60,E  CALVAR
LALO9101,,ADV FRANCE,SAS LALOYEAU SERVICES,FR,FRANCE,91150,01 60 86 45 94 ,MR DUBUISSON 
LAMB0109,CTE PRINCIPAL,OGR,LAMBERET SAS,FR,FRANCE,01380,03 85 30 85 30,EMMANUEL DELGADO
LANG9500,,ADV FRANCE,DFCI LANGLAIS,FR,FRANCE,95640,01 34 67 50 98,
LEBR5004,,OGR,CARROSSERIE LEBRUN,FR,FRANCE,50160,02 33 72 00 00,TURGIS PHILIPPE
LECI3800,,ADV EXPORT,LECITRAILER FRANCE SARL,FR,FRANCE,38290,04 74 94 21 09,Cedric GRAND
LECI9900,,ADV EXPORT,LECITRAILER SA,ES,CEE,50620,00 34 976462121,JAVIER AMADOR
LEMA5914,,OGR,CARROSSERIE INDUST  LEMAIRE,FR,FRANCE,59119,03 27 88 87 61,Jérome BAJWOLUK 
LERO5605,,ADV FRANCE,LE ROUIC SARL,FR,FRANCE,56250,02 97 53 33 30,MICHEL QUINTIN HERVÉ LEROUIC
LIBN7903,,OGR,LIBNER,FR,FRANCE,79400,05 49 05 78 78,achats@libner.fr
LOCA7200,,OGR,CRETOT LOCATION,FR,FRANCE,72027,02 43 50 26 20,BRIGITTE DEHAYE
MOLE8201,,OGR,MOLETTA OBRADO CARROSSERIE,FR,FRANCE,82000,05 63 63 25 76,VÉRONIQUE RIOLS
REGN5020,,OGR,J  REGNAULT SAS,FR,FRANCE,50208,02 33 19 05 05,GAELLE CHAUSSAROT
SORI9900,,ADV EXPORT,SOR IBERICA,ES,CEE,46600,00 34 962457700,MARTA CARRASCOSA
TEKN7100,,ADV FRANCE,TEKNOKIT FRANCE,FR,FRANCE,71520,03 85 50 95 60,CEDRIC BATHO
TOUT7204,,ADV FRANCE,TOUTAIN CARROSSERIE SAS,FR,FRANCE,72202,02 43 94 09 96,TEDDY MICHEL
VIVI6210,,OGR,VIVIER CARROSSERIE,FR,FRANCE,62223,03 21 24 04 00,Judicaelle
